scene0707_00_60: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_60_sub.bin
scene0738_00_510: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_510_sub.bin
  scene0775_00_0: FAIL
  scene0793_00_1035: FAIL
  scene0781_00_1215: FAIL
scene0738_00_600: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_600_sub.bin
  scene0758_00_0: FAIL
  scene0780_00_840: FAIL
  scene0799_00_645: FAIL
scene0738_00_645: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_645_sub.bin
  scene0758_00_0: FAIL
  scene0748_00_0: FAIL
  scene0738_00_465: 0.7007036547169736 SUCCESS
scene0738_00_690: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_690_sub.bin
  scene0788_00_180: FAIL
  scene0747_00_3240: FAIL
  scene0805_00_300: FAIL
scene0738_00_735: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_735_sub.bin
  scene0747_00_2325: FAIL
  scene0759_00_195: FAIL
  scene0720_00_0: FAIL
scene0738_00_870: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_870_sub.bin
  scene0759_00_195: FAIL
  scene0733_00_1275: FAIL
  scene0774_00_0: FAIL
scene0738_00_915: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_915_sub.bin
  scene0733_00_1275: FAIL
  scene0776_00_0: FAIL
  scene0755_00_0: FAIL
scene0738_00_975: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_975_sub.bin
  scene0755_00_0: FAIL
  scene0786_00_0: FAIL
  scene0776_00_0: FAIL
scene0738_00_1005: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1005_sub.bin
  scene0714_00_0: FAIL
  scene0733_00_0: FAIL
  scene0805_00_300: FAIL
scene0738_00_1020: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1020_sub.bin
  scene0761_00_2040: FAIL
  scene0714_00_0: FAIL
  scene0720_00_0: FAIL
scene0738_00_1035: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1035_sub.bin
  scene0761_00_2040: FAIL
  scene0714_00_0: FAIL
  scene0733_00_0: FAIL
scene0738_00_1050: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1050_sub.bin
  scene0787_00_2370: FAIL
  scene0786_00_0: FAIL
  scene0714_00_0: FAIL
scene0738_00_1065: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1065_sub.bin
  scene0714_00_0: FAIL
  scene0733_00_0: FAIL
  scene0787_00_2370: FAIL
scene0738_00_1140: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1140_sub.bin
  scene0755_00_0: FAIL
  scene0786_00_0: FAIL
  scene0788_00_870: FAIL
scene0738_00_1170: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1170_sub.bin
  scene0780_00_840: FAIL
  scene0790_00_0: FAIL
  scene0780_00_0: FAIL
scene0738_00_1200: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1200_sub.bin
  scene0772_00_435: FAIL
  scene0805_00_300: FAIL
  scene0786_00_0: FAIL
scene0738_00_1230: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1230_sub.bin
  scene0776_00_0: FAIL
  scene0787_00_2370: FAIL
  scene0720_00_0: FAIL
scene0738_00_1245: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1245_sub.bin
  scene0776_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0759_00_195: FAIL
scene0738_00_1290: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1290_sub.bin
  scene0747_00_2325: FAIL
  scene0759_00_195: FAIL
  scene0733_00_1275: FAIL
scene0738_00_1305: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1305_sub.bin
  scene0776_00_0: FAIL
  scene0768_00_1095: FAIL
  scene0715_00_0: FAIL
scene0738_00_1320: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1320_sub.bin
  scene0738_00_465: 1.701454095547738 SUCCESS
scene0738_00_1350: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1350_sub.bin
  scene0738_00_0: 0.5700393794067438 SUCCESS
scene0738_00_1380: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1380_sub.bin
  scene0747_00_3240: FAIL
  scene0710_00_1425: FAIL
  scene0772_00_435: FAIL
scene0738_00_1410: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1410_sub.bin
  scene0733_00_0: FAIL
  scene0781_00_1620: FAIL
  scene0755_00_0: FAIL
scene0738_00_1425: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1425_sub.bin
  scene0791_00_0: FAIL
  scene0738_00_465: 2.596917943006488 SUCCESS
scene0738_00_1455: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1455_sub.bin
  scene0802_00_930: FAIL
  scene0748_00_0: FAIL
  scene0776_00_0: FAIL
scene0738_00_1500: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1500_sub.bin
  scene0733_00_0: FAIL
  scene0714_00_0: FAIL
  scene0788_00_180: FAIL
scene0738_00_1530: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1530_sub.bin
  scene0721_00_375: FAIL
  scene0708_00_285: FAIL
  scene0793_00_1035: FAIL
scene0738_00_1575: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1575_sub.bin
  scene0722_00_0: FAIL
  scene0801_00_0: FAIL
  scene0761_00_390: FAIL
scene0738_00_1620: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1620_sub.bin
  scene0738_00_0: 0.15241461455266844 SUCCESS
scene0738_00_1665: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0738_00/scene0738_00_1665_sub.bin
  scene0714_00_0: FAIL
  scene0791_00_0: FAIL
  scene0781_00_1620: FAIL
scene0739_00_90: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_90_sub.bin
  scene0766_00_150: FAIL
  scene0711_00_0: FAIL
  scene0780_00_300: FAIL
scene0739_00_120: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_120_sub.bin
  scene0761_00_390: FAIL
  scene0711_00_315: FAIL
  scene0710_00_0: FAIL
scene0739_00_210: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_210_sub.bin
  scene0717_00_345: FAIL
  scene0772_00_720: FAIL
  scene0785_00_2970: FAIL
scene0739_00_240: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_240_sub.bin
  scene0778_00_0: FAIL
  scene0775_00_915: FAIL
  scene0785_00_1035: FAIL
scene0739_00_300: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_300_sub.bin
  scene0728_00_0: FAIL
  scene0735_00_0: FAIL
  scene0743_00_0: FAIL
scene0739_00_360: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_360_sub.bin
  scene0778_00_0: FAIL
  scene0785_00_1035: FAIL
  scene0775_00_915: FAIL
scene0739_00_390: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_390_sub.bin
  scene0782_00_0: FAIL
  scene0789_00_0: FAIL
  scene0734_00_1905: FAIL
scene0739_00_435: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_435_sub.bin
  scene0736_00_3600: FAIL
  scene0757_00_1140: FAIL
  scene0737_00_0: FAIL
scene0739_00_525: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_525_sub.bin
  scene0746_00_165: FAIL
  scene0780_00_840: FAIL
  scene0782_00_0: FAIL
scene0739_00_630: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_630_sub.bin
  scene0733_00_810: FAIL
  scene0790_00_570: FAIL
  scene0793_00_630: FAIL
scene0739_00_705: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_705_sub.bin
  scene0717_00_150: FAIL
  scene0782_00_0: FAIL
  scene0780_00_840: FAIL
scene0739_00_780: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_780_sub.bin
  scene0716_00_270: FAIL
  scene0736_00_4260: FAIL
  scene0781_00_555: FAIL
scene0739_00_885: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_885_sub.bin
  scene0776_00_2370: FAIL
  scene0788_00_870: FAIL
  scene0774_00_0: FAIL
scene0739_00_1005: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1005_sub.bin
  scene0781_00_0: FAIL
  scene0745_00_0: FAIL
  scene0785_00_0: FAIL
scene0739_00_1035: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1035_sub.bin
  scene0758_00_0: FAIL
  scene0776_00_2370: FAIL
  scene0788_00_870: FAIL
scene0739_00_1110: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1110_sub.bin
  scene0733_00_810: FAIL
  scene0769_00_0: FAIL
  scene0778_00_0: FAIL
scene0739_00_1230: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1230_sub.bin
  scene0736_00_3600: FAIL
  scene0757_00_1140: FAIL
  scene0780_00_0: FAIL
scene0739_00_1395: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1395_sub.bin
  scene0800_00_0: FAIL
  scene0710_00_1425: FAIL
  scene0773_00_0: FAIL
scene0739_00_1545: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1545_sub.bin
  scene0777_00_0: FAIL
  scene0774_00_945: FAIL
  scene0789_00_0: FAIL
scene0739_00_1560: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1560_sub.bin
  scene0750_00_0: FAIL
  scene0797_00_525: FAIL
  scene0749_00_2205: FAIL
scene0739_00_1605: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1605_sub.bin
  scene0800_00_0: FAIL
  scene0710_00_1425: FAIL
  scene0715_00_0: FAIL
scene0739_00_1695: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1695_sub.bin
  scene0775_00_915: FAIL
  scene0773_00_0: FAIL
  scene0757_00_1140: FAIL
scene0739_00_1815: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_1815_sub.bin
  scene0753_00_795: FAIL
  scene0757_00_1140: FAIL
  scene0717_00_0: FAIL
scene0739_00_2115: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2115_sub.bin
  scene0801_00_0: FAIL
  scene0781_00_555: FAIL
  scene0774_00_945: FAIL
scene0739_00_2145: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2145_sub.bin
  scene0746_00_0: FAIL
  scene0761_00_2595: FAIL
  scene0803_00_990: FAIL
scene0739_00_2220: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2220_sub.bin
  scene0713_00_0: FAIL
  scene0756_00_255: FAIL
  scene0778_00_0: FAIL
scene0739_00_2370: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2370_sub.bin
  scene0762_00_1020: FAIL
  scene0803_00_990: FAIL
  scene0757_00_0: FAIL
scene0739_00_2445: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2445_sub.bin
  scene0782_00_0: FAIL
  scene0717_00_150: FAIL
  scene0746_00_165: FAIL
scene0739_00_2670: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2670_sub.bin
  scene0797_00_0: FAIL
  scene0716_00_570: FAIL
  scene0711_00_0: FAIL
scene0739_00_2790: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2790_sub.bin
  scene0713_00_0: FAIL
  scene0733_00_810: FAIL
  scene0790_00_570: FAIL
scene0739_00_2865: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2865_sub.bin
  scene0713_00_0: FAIL
  scene0778_00_0: FAIL
  scene0775_00_915: FAIL
scene0739_00_2940: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2940_sub.bin
  scene0781_00_0: FAIL
  scene0775_00_915: FAIL
  scene0742_00_0: FAIL
scene0739_00_2970: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_2970_sub.bin
  scene0778_00_0: FAIL
  scene0785_00_1035: FAIL
  scene0775_00_915: FAIL
scene0739_00_3000: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3000_sub.bin
  scene0778_00_0: FAIL
  scene0780_00_1215: FAIL
  scene0773_00_0: FAIL
scene0739_00_3075: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3075_sub.bin
  scene0756_00_0: FAIL
  scene0797_00_0: FAIL
  scene0752_00_240: FAIL
scene0739_00_3165: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3165_sub.bin
  scene0717_00_150: FAIL
  scene0799_00_645: FAIL
  scene0780_00_0: FAIL
scene0739_00_3270: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3270_sub.bin
  scene0797_00_0: FAIL
  scene0711_00_0: FAIL
  scene0757_00_2535: FAIL
scene0739_00_3390: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3390_sub.bin
  scene0713_00_0: FAIL
  scene0778_00_0: FAIL
  scene0775_00_915: FAIL
scene0739_00_3765: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3765_sub.bin
  scene0785_00_0: FAIL
  scene0745_00_0: FAIL
  scene0733_00_810: FAIL
scene0739_00_3795: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3795_sub.bin
  scene0790_00_0: FAIL
  scene0785_00_1035: FAIL
  scene0778_00_0: FAIL
scene0739_00_3840: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3840_sub.bin
  scene0710_00_0: FAIL
  scene0742_00_0: FAIL
  scene0773_00_0: FAIL
scene0739_00_3915: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_3915_sub.bin
  scene0785_00_2970: FAIL
  scene0733_00_810: FAIL
  scene0754_00_2295: FAIL
scene0739_00_4020: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4020_sub.bin
  scene0711_00_0: FAIL
  scene0771_00_0: FAIL
  scene0793_00_315: FAIL
scene0739_00_4035: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4035_sub.bin
  scene0739_00_0: 0.3290948410665685 SUCCESS
scene0739_00_4125: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4125_sub.bin
  scene0760_00_0: FAIL
  scene0758_00_0: FAIL
  scene0802_00_930: FAIL
scene0739_00_4170: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4170_sub.bin
  scene0774_00_945: FAIL
  scene0736_00_4260: FAIL
  scene0782_00_0: FAIL
scene0739_00_4230: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4230_sub.bin
  scene0718_00_120: FAIL
  scene0746_00_165: FAIL
  scene0780_00_840: FAIL
scene0739_00_4245: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4245_sub.bin
  scene0733_00_810: FAIL
  scene0754_00_2295: FAIL
  scene0790_00_570: FAIL
scene0739_00_4320: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0739_00/scene0739_00_4320_sub.bin
  scene0739_00_0: 0.227715191814649 SUCCESS
scene0740_00_90: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_90_sub.bin
  scene0757_00_2535: FAIL
  scene0762_00_0: FAIL
  scene0771_00_0: FAIL
scene0740_00_150: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_150_sub.bin
  scene0803_00_990: FAIL
  scene0762_00_1020: FAIL
  scene0746_00_0: FAIL
scene0740_00_240: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_240_sub.bin
  scene0770_00_870: FAIL
  scene0784_00_0: FAIL
  scene0781_00_1620: FAIL
scene0740_00_345: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_345_sub.bin
  scene0750_00_0: FAIL
  scene0803_00_0: FAIL
  scene0768_00_0: FAIL
scene0740_00_450: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_450_sub.bin
  scene0776_00_570: FAIL
  scene0785_00_1035: FAIL
  scene0795_00_0: FAIL
scene0740_00_495: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_495_sub.bin
  scene0725_00_0: FAIL
  scene0757_00_1590: FAIL
  scene0741_00_0: FAIL
scene0740_00_585: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_585_sub.bin
  scene0779_00_0: FAIL
  scene0716_00_0: FAIL
  scene0761_00_2595: FAIL
scene0740_00_615: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_615_sub.bin
  scene0733_00_810: FAIL
  scene0769_00_0: FAIL
  scene0768_00_0: FAIL
scene0740_00_660: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_660_sub.bin
  scene0784_00_900: FAIL
  scene0781_00_555: FAIL
  scene0801_00_0: FAIL
scene0740_00_705: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_705_sub.bin
  scene0733_00_1275: FAIL
  scene0749_00_2010: FAIL
  scene0717_00_150: FAIL
scene0740_00_855: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_855_sub.bin
  scene0772_00_435: FAIL
  scene0755_00_0: FAIL
  scene0796_00_0: FAIL
scene0740_00_975: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_975_sub.bin
  scene0784_00_900: FAIL
  scene0734_00_1155: FAIL
  scene0752_00_120: FAIL
scene0740_00_1020: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1020_sub.bin
  scene0746_00_0: FAIL
  scene0716_00_0: FAIL
  scene0779_00_0: FAIL
scene0740_00_1065: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1065_sub.bin
  scene0736_00_0: FAIL
  scene0777_00_975: FAIL
  scene0740_00_525: 0.41799303020672524 SUCCESS
scene0740_00_1110: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1110_sub.bin
  scene0724_00_0: FAIL
  scene0775_00_450: FAIL
  scene0777_00_975: FAIL
scene0740_00_1155: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1155_sub.bin
  scene0790_00_0: FAIL
  scene0708_00_0: FAIL
  scene0780_00_0: FAIL
scene0740_00_1185: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1185_sub.bin
  scene0742_00_0: FAIL
  scene0778_00_0: FAIL
  scene0773_00_0: FAIL
scene0740_00_1215: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1215_sub.bin
  scene0747_00_105: FAIL
  scene0757_00_1590: FAIL
  scene0725_00_0: FAIL
scene0740_00_1350: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1350_sub.bin
  scene0780_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0759_00_195: FAIL
scene0740_00_1365: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1365_sub.bin
  scene0747_00_3240: FAIL
  scene0710_00_1425: FAIL
  scene0772_00_435: FAIL
scene0740_00_1425: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1425_sub.bin
  scene0720_00_0: FAIL
  scene0758_00_0: FAIL
  scene0774_00_0: FAIL
scene0740_00_1515: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1515_sub.bin
  scene0774_00_0: FAIL
  scene0788_00_870: FAIL
  scene0720_00_0: FAIL
scene0740_00_1560: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1560_sub.bin
  scene0717_00_150: FAIL
  scene0802_00_930: FAIL
  scene0747_00_0: FAIL
scene0740_00_1650: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1650_sub.bin
  scene0742_00_0: FAIL
  scene0710_00_0: FAIL
  scene0734_00_1905: FAIL
scene0740_00_1755: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1755_sub.bin
  scene0733_00_1275: FAIL
  scene0774_00_0: FAIL
  scene0720_00_0: FAIL
scene0740_00_1815: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1815_sub.bin
  scene0713_00_0: FAIL
  scene0803_00_0: FAIL
  scene0785_00_1035: FAIL
scene0740_00_1875: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1875_sub.bin
  scene0775_00_915: FAIL
  scene0790_00_0: FAIL
  scene0785_00_1035: FAIL
scene0740_00_1935: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_1935_sub.bin
  scene0778_00_0: FAIL
  scene0773_00_0: FAIL
  scene0742_00_0: FAIL
scene0740_00_2100: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2100_sub.bin
  scene0793_00_315: FAIL
  scene0711_00_0: FAIL
  scene0755_00_600: FAIL
scene0740_00_2190: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2190_sub.bin
  scene0708_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0752_00_0: FAIL
scene0740_00_2250: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2250_sub.bin
  scene0739_00_0: FAIL
  scene0777_00_435: FAIL
  scene0736_00_4260: FAIL
scene0740_00_2295: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2295_sub.bin
  scene0757_00_0: FAIL
  scene0762_00_1020: FAIL
  scene0803_00_990: FAIL
scene0740_00_2385: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2385_sub.bin
  scene0802_00_930: FAIL
  scene0758_00_0: FAIL
  scene0747_00_0: FAIL
scene0740_00_2490: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0740_00/scene0740_00_2490_sub.bin
  scene0781_00_555: FAIL
  scene0784_00_900: FAIL
  scene0801_00_0: FAIL
scene0741_00_60: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_60_sub.bin
  scene0802_00_930: FAIL
  scene0746_00_165: FAIL
  scene0780_00_840: FAIL
scene0741_00_135: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_135_sub.bin
  scene0718_00_0: FAIL
  scene0802_00_930: FAIL
  scene0758_00_0: FAIL
scene0741_00_195: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_195_sub.bin
  scene0717_00_150: FAIL
  scene0788_00_870: FAIL
  scene0780_00_1215: FAIL
scene0741_00_270: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_270_sub.bin
  scene0777_00_975: FAIL
  scene0736_00_0: FAIL
  scene0724_00_0: FAIL
scene0741_00_360: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_360_sub.bin
  scene0785_00_2970: FAIL
  scene0745_00_0: FAIL
  scene0734_00_1155: FAIL
scene0741_00_420: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_420_sub.bin
  scene0734_00_1155: FAIL
  scene0707_00_0: FAIL
  scene0752_00_120: FAIL
scene0741_00_465: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_465_sub.bin
  scene0776_00_2370: FAIL
  scene0780_00_1215: FAIL
  scene0785_00_1035: FAIL
scene0741_00_510: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_510_sub.bin
  scene0780_00_1215: FAIL
  scene0788_00_870: FAIL
  scene0785_00_1035: FAIL
scene0741_00_540: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_540_sub.bin
  scene0773_00_0: FAIL
  scene0717_00_150: FAIL
  scene0734_00_1905: FAIL
scene0741_00_630: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_630_sub.bin
  scene0788_00_870: FAIL
  scene0720_00_0: FAIL
  scene0755_00_0: FAIL
scene0741_00_720: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0741_00/scene0741_00_720_sub.bin
  scene0733_00_810: FAIL
  scene0740_00_0: FAIL
  scene0792_00_0: FAIL
