scene0707_00_60: scans/scene0707_00/pnvlad_pcd/scene0707_00_60_sub.bin
--scene0747_00_240: FAIL
scene0736_00_1485: scans/scene0736_00/pnvlad_pcd/scene0736_00_1485_sub.bin
--scene0793_00_1245: FAIL
--scene0752_00_120: FAIL
--scene0760_00_0: FAIL
scene0736_00_1560: scans/scene0736_00/pnvlad_pcd/scene0736_00_1560_sub.bin
--scene0784_00_900: FAIL
--scene0793_00_1035: FAIL
--scene0747_00_240: FAIL
scene0736_00_1590: scans/scene0736_00/pnvlad_pcd/scene0736_00_1590_sub.bin
--scene0770_00_870: FAIL
--scene0725_00_0: FAIL
--scene0738_00_465: FAIL
scene0736_00_1665: scans/scene0736_00/pnvlad_pcd/scene0736_00_1665_sub.bin
--scene0793_00_1245: FAIL
--scene0757_00_1140: FAIL
--scene0760_00_0: FAIL
scene0736_00_1785: scans/scene0736_00/pnvlad_pcd/scene0736_00_1785_sub.bin
--scene0752_00_120: FAIL
--scene0752_00_240: FAIL
--scene0787_00_0: FAIL
scene0736_00_1830: scans/scene0736_00/pnvlad_pcd/scene0736_00_1830_sub.bin
--scene0752_00_240: FAIL
--scene0720_00_0: FAIL
--scene0721_00_1200: FAIL
scene0736_00_1860: scans/scene0736_00/pnvlad_pcd/scene0736_00_1860_sub.bin
--scene0787_00_0: FAIL
--scene0738_00_0: FAIL
--scene0753_00_0: FAIL
scene0736_00_1905: scans/scene0736_00/pnvlad_pcd/scene0736_00_1905_sub.bin
--scene0787_00_0: FAIL
--scene0752_00_120: FAIL
--scene0757_00_1590: FAIL
scene0736_00_1980: scans/scene0736_00/pnvlad_pcd/scene0736_00_1980_sub.bin
--scene0736_00_0: 0.7321024551925805 SUCCESS
scene0736_00_2025: scans/scene0736_00/pnvlad_pcd/scene0736_00_2025_sub.bin
--scene0725_00_0: FAIL
--scene0736_00_0: 0.3965657256033108 SUCCESS
scene0736_00_2130: scans/scene0736_00/pnvlad_pcd/scene0736_00_2130_sub.bin
--scene0761_00_2040: FAIL
--scene0787_00_0: FAIL
--scene0759_00_0: FAIL
scene0736_00_2145: scans/scene0736_00/pnvlad_pcd/scene0736_00_2145_sub.bin
--scene0736_00_0: 1.1142387283764084 SUCCESS
scene0736_00_2415: scans/scene0736_00/pnvlad_pcd/scene0736_00_2415_sub.bin
--scene0768_00_1095: FAIL
--scene0725_00_0: FAIL
--scene0747_00_2325: FAIL
scene0736_00_2460: scans/scene0736_00/pnvlad_pcd/scene0736_00_2460_sub.bin
--scene0707_00_0: FAIL
--scene0787_00_1005: FAIL
--scene0763_00_0: FAIL
scene0736_00_2535: scans/scene0736_00/pnvlad_pcd/scene0736_00_2535_sub.bin
--scene0757_00_1590: FAIL
--scene0748_00_0: FAIL
--scene0768_00_1095: FAIL
scene0736_00_2595: scans/scene0736_00/pnvlad_pcd/scene0736_00_2595_sub.bin
--scene0768_00_1095: FAIL
--scene0725_00_0: FAIL
--scene0738_00_465: FAIL
scene0736_00_2625: scans/scene0736_00/pnvlad_pcd/scene0736_00_2625_sub.bin
--scene0725_00_0: FAIL
--scene0775_00_450: FAIL
--scene0747_00_2325: FAIL
scene0736_00_2910: scans/scene0736_00/pnvlad_pcd/scene0736_00_2910_sub.bin
--scene0763_00_0: FAIL
--scene0797_00_0: FAIL
--scene0752_00_120: FAIL
scene0736_00_3720: scans/scene0736_00/pnvlad_pcd/scene0736_00_3720_sub.bin
--scene0761_00_2595: FAIL
--scene0775_00_450: FAIL
--scene0716_00_480: FAIL
scene0736_00_3750: scans/scene0736_00/pnvlad_pcd/scene0736_00_3750_sub.bin
--scene0761_00_2595: FAIL
--scene0752_00_120: FAIL
--scene0766_00_150: FAIL
scene0736_00_3780: scans/scene0736_00/pnvlad_pcd/scene0736_00_3780_sub.bin
--scene0749_00_2205: FAIL
--scene0731_00_0: FAIL
--scene0712_00_0: FAIL
scene0736_00_3825: scans/scene0736_00/pnvlad_pcd/scene0736_00_3825_sub.bin
--scene0784_00_0: FAIL
--scene0747_00_2325: FAIL
--scene0707_00_0: FAIL
scene0736_00_3900: scans/scene0736_00/pnvlad_pcd/scene0736_00_3900_sub.bin
--scene0736_00_4260: 2.435436396987433 SUCCESS
scene0736_00_3975: scans/scene0736_00/pnvlad_pcd/scene0736_00_3975_sub.bin
--scene0768_00_1095: FAIL
--scene0763_00_0: FAIL
--scene0746_00_0: FAIL
scene0736_00_4005: scans/scene0736_00/pnvlad_pcd/scene0736_00_4005_sub.bin
--scene0735_00_0: FAIL
--scene0753_00_0: FAIL
--scene0763_00_0: FAIL
scene0736_00_4080: scans/scene0736_00/pnvlad_pcd/scene0736_00_4080_sub.bin
--scene0767_00_0: FAIL
--scene0787_00_0: FAIL
--scene0736_00_4260: 0.7010189844308297 SUCCESS
scene0736_00_4185: scans/scene0736_00/pnvlad_pcd/scene0736_00_4185_sub.bin
--scene0790_00_570: FAIL
--scene0745_00_0: FAIL
--scene0731_00_0: FAIL
scene0736_00_4365: scans/scene0736_00/pnvlad_pcd/scene0736_00_4365_sub.bin
--scene0746_00_0: FAIL
--scene0748_00_0: FAIL
--scene0736_00_0: 2.106454225260472 SUCCESS
scene0736_00_4380: scans/scene0736_00/pnvlad_pcd/scene0736_00_4380_sub.bin
--scene0757_00_1590: FAIL
--scene0803_00_990: FAIL
--scene0725_00_0: FAIL
scene0736_00_4455: scans/scene0736_00/pnvlad_pcd/scene0736_00_4455_sub.bin
--scene0736_00_0: 1.0132739858869397 SUCCESS
scene0736_00_4545: scans/scene0736_00/pnvlad_pcd/scene0736_00_4545_sub.bin
--scene0736_00_0: 1.0706289539338774 SUCCESS
scene0736_00_4605: scans/scene0736_00/pnvlad_pcd/scene0736_00_4605_sub.bin
--scene0752_00_120: FAIL
--scene0803_00_990: FAIL
--scene0784_00_900: FAIL
scene0736_00_4635: scans/scene0736_00/pnvlad_pcd/scene0736_00_4635_sub.bin
--scene0720_00_0: FAIL
--scene0738_00_0: FAIL
--scene0752_00_120: FAIL
scene0736_00_4650: scans/scene0736_00/pnvlad_pcd/scene0736_00_4650_sub.bin
--scene0746_00_0: FAIL
--scene0725_00_0: FAIL
--scene0748_00_0: FAIL
scene0736_00_4680: scans/scene0736_00/pnvlad_pcd/scene0736_00_4680_sub.bin
--scene0746_00_0: FAIL
--scene0725_00_0: FAIL
--scene0734_00_1155: FAIL
scene0736_00_4710: scans/scene0736_00/pnvlad_pcd/scene0736_00_4710_sub.bin
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
--scene0744_00_765: FAIL
scene0736_00_4785: scans/scene0736_00/pnvlad_pcd/scene0736_00_4785_sub.bin
--scene0784_00_900: FAIL
--scene0757_00_1590: FAIL
--scene0752_00_120: FAIL
scene0736_00_4860: scans/scene0736_00/pnvlad_pcd/scene0736_00_4860_sub.bin
--scene0787_00_0: FAIL
--scene0736_00_0: 0.5515995095504711 SUCCESS
scene0736_00_4890: scans/scene0736_00/pnvlad_pcd/scene0736_00_4890_sub.bin
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
--scene0736_00_4260: 2.2001868783803 SUCCESS
scene0736_00_4950: scans/scene0736_00/pnvlad_pcd/scene0736_00_4950_sub.bin
--scene0725_00_0: FAIL
--scene0731_00_0: FAIL
--scene0716_00_480: FAIL
scene0736_00_5070: scans/scene0736_00/pnvlad_pcd/scene0736_00_5070_sub.bin
--scene0784_00_900: FAIL
--scene0746_00_0: FAIL
--scene0803_00_990: FAIL
scene0736_00_5115: scans/scene0736_00/pnvlad_pcd/scene0736_00_5115_sub.bin
--scene0803_00_990: FAIL
--scene0736_00_0: 0.5049893224373927 SUCCESS
scene0736_00_5145: scans/scene0736_00/pnvlad_pcd/scene0736_00_5145_sub.bin
--scene0744_00_765: FAIL
--scene0768_00_1095: FAIL
--scene0803_00_990: FAIL
scene0736_00_5190: scans/scene0736_00/pnvlad_pcd/scene0736_00_5190_sub.bin
--scene0763_00_0: FAIL
--scene0707_00_0: FAIL
--scene0747_00_2325: FAIL
scene0736_00_5325: scans/scene0736_00/pnvlad_pcd/scene0736_00_5325_sub.bin
--scene0725_00_0: FAIL
--scene0746_00_0: FAIL
--scene0717_00_150: FAIL
scene0736_00_5370: scans/scene0736_00/pnvlad_pcd/scene0736_00_5370_sub.bin
--scene0725_00_0: FAIL
--scene0738_00_0: FAIL
--scene0793_00_0: FAIL
scene0736_00_5445: scans/scene0736_00/pnvlad_pcd/scene0736_00_5445_sub.bin
--scene0738_00_0: FAIL
--scene0720_00_0: FAIL
--scene0768_00_1095: FAIL
scene0736_00_5475: scans/scene0736_00/pnvlad_pcd/scene0736_00_5475_sub.bin
--scene0725_00_0: FAIL
--scene0774_00_0: FAIL
--scene0755_00_0: FAIL
scene0736_00_5490: scans/scene0736_00/pnvlad_pcd/scene0736_00_5490_sub.bin
--scene0747_00_2325: FAIL
--scene0785_00_1035: FAIL
--scene0766_00_150: FAIL
scene0736_00_5595: scans/scene0736_00/pnvlad_pcd/scene0736_00_5595_sub.bin
--scene0752_00_120: FAIL
--scene0736_00_0: 1.1114270826113684 SUCCESS
scene0736_00_5655: scans/scene0736_00/pnvlad_pcd/scene0736_00_5655_sub.bin
--scene0746_00_0: FAIL
--scene0752_00_120: FAIL
--scene0747_00_0: FAIL
scene0736_00_5715: scans/scene0736_00/pnvlad_pcd/scene0736_00_5715_sub.bin
--scene0752_00_120: FAIL
--scene0747_00_0: FAIL
--scene0806_00_0: FAIL
scene0736_00_5745: scans/scene0736_00/pnvlad_pcd/scene0736_00_5745_sub.bin
--scene0787_00_0: FAIL
--scene0738_00_0: FAIL
--scene0746_00_0: FAIL
scene0736_00_5850: scans/scene0736_00/pnvlad_pcd/scene0736_00_5850_sub.bin
--scene0790_00_570: FAIL
--scene0768_00_1095: FAIL
--scene0797_00_0: FAIL
scene0736_00_5940: scans/scene0736_00/pnvlad_pcd/scene0736_00_5940_sub.bin
--scene0725_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0803_00_990: FAIL
scene0736_00_5970: scans/scene0736_00/pnvlad_pcd/scene0736_00_5970_sub.bin
--scene0757_00_1590: FAIL
--scene0736_00_0: 0.4586139780790629 SUCCESS
scene0736_00_6030: scans/scene0736_00/pnvlad_pcd/scene0736_00_6030_sub.bin
--scene0736_00_0: 0.23431848090986734 SUCCESS
scene0736_00_6075: scans/scene0736_00/pnvlad_pcd/scene0736_00_6075_sub.bin
--scene0736_00_0: 0.9556947488482318 SUCCESS
scene0736_00_6105: scans/scene0736_00/pnvlad_pcd/scene0736_00_6105_sub.bin
--scene0748_00_0: FAIL
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
scene0736_00_6120: scans/scene0736_00/pnvlad_pcd/scene0736_00_6120_sub.bin
--scene0725_00_0: FAIL
--scene0745_00_0: FAIL
--scene0716_00_180: FAIL
scene0736_00_6195: scans/scene0736_00/pnvlad_pcd/scene0736_00_6195_sub.bin
--scene0797_00_0: FAIL
--scene0766_00_0: FAIL
--scene0763_00_0: FAIL
scene0736_00_6285: scans/scene0736_00/pnvlad_pcd/scene0736_00_6285_sub.bin
--scene0763_00_0: FAIL
--scene0745_00_0: FAIL
--scene0744_00_765: FAIL
scene0736_00_6375: scans/scene0736_00/pnvlad_pcd/scene0736_00_6375_sub.bin
--scene0745_00_0: FAIL
--scene0763_00_0: FAIL
--scene0747_00_2325: FAIL
scene0736_00_6405: scans/scene0736_00/pnvlad_pcd/scene0736_00_6405_sub.bin
--scene0746_00_0: FAIL
--scene0790_00_570: FAIL
--scene0731_00_0: FAIL
scene0736_00_6420: scans/scene0736_00/pnvlad_pcd/scene0736_00_6420_sub.bin
--scene0764_00_0: FAIL
--scene0757_00_4050: FAIL
--scene0738_00_465: FAIL
scene0736_00_6465: scans/scene0736_00/pnvlad_pcd/scene0736_00_6465_sub.bin
--scene0736_00_0: 0.19256118802920863 SUCCESS
scene0736_00_6495: scans/scene0736_00/pnvlad_pcd/scene0736_00_6495_sub.bin
--scene0758_00_0: FAIL
--scene0803_00_990: FAIL
--scene0757_00_1590: FAIL
scene0736_00_6510: scans/scene0736_00/pnvlad_pcd/scene0736_00_6510_sub.bin
--scene0767_00_0: FAIL
--scene0753_00_0: FAIL
--scene0720_00_0: FAIL
scene0736_00_6600: scans/scene0736_00/pnvlad_pcd/scene0736_00_6600_sub.bin
--scene0767_00_0: FAIL
--scene0707_00_0: FAIL
--scene0760_00_0: FAIL
scene0736_00_6720: scans/scene0736_00/pnvlad_pcd/scene0736_00_6720_sub.bin
--scene0736_00_4260: 3.0663970652655044 FAIL
--scene0767_00_0: FAIL
--scene0707_00_0: FAIL
scene0736_00_6810: scans/scene0736_00/pnvlad_pcd/scene0736_00_6810_sub.bin
--scene0734_00_1155: FAIL
--scene0735_00_0: FAIL
--scene0785_00_1035: FAIL
scene0736_00_6915: scans/scene0736_00/pnvlad_pcd/scene0736_00_6915_sub.bin
--scene0763_00_0: FAIL
--scene0790_00_570: FAIL
--scene0785_00_735: FAIL
scene0736_00_6990: scans/scene0736_00/pnvlad_pcd/scene0736_00_6990_sub.bin
--scene0767_00_0: FAIL
--scene0746_00_165: FAIL
--scene0735_00_0: FAIL
scene0736_00_7080: scans/scene0736_00/pnvlad_pcd/scene0736_00_7080_sub.bin
--scene0768_00_1095: FAIL
--scene0763_00_0: FAIL
--scene0747_00_2325: FAIL
scene0736_00_7110: scans/scene0736_00/pnvlad_pcd/scene0736_00_7110_sub.bin
--scene0748_00_0: FAIL
--scene0787_00_0: FAIL
--scene0752_00_120: FAIL
scene0736_00_7200: scans/scene0736_00/pnvlad_pcd/scene0736_00_7200_sub.bin
--scene0752_00_120: FAIL
--scene0738_00_0: FAIL
--scene0787_00_0: FAIL
scene0736_00_7245: scans/scene0736_00/pnvlad_pcd/scene0736_00_7245_sub.bin
--scene0736_00_0: 0.8418214797503818 SUCCESS
scene0736_00_7335: scans/scene0736_00/pnvlad_pcd/scene0736_00_7335_sub.bin
--scene0736_00_0: 1.2057590161489857 SUCCESS
scene0736_00_7365: scans/scene0736_00/pnvlad_pcd/scene0736_00_7365_sub.bin
--scene0761_00_2595: FAIL
--scene0784_00_900: FAIL
--scene0725_00_0: FAIL
scene0736_00_7380: scans/scene0736_00/pnvlad_pcd/scene0736_00_7380_sub.bin
--scene0747_00_2325: FAIL
--scene0803_00_990: FAIL
--scene0725_00_0: FAIL
scene0736_00_7410: scans/scene0736_00/pnvlad_pcd/scene0736_00_7410_sub.bin
--scene0763_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0752_00_120: FAIL
scene0736_00_7545: scans/scene0736_00/pnvlad_pcd/scene0736_00_7545_sub.bin
--scene0768_00_1095: FAIL
--scene0722_00_0: FAIL
--scene0731_00_0: FAIL
scene0736_00_7635: scans/scene0736_00/pnvlad_pcd/scene0736_00_7635_sub.bin
--scene0761_00_2595: FAIL
--scene0785_00_1035: FAIL
--scene0757_00_1590: FAIL
scene0736_00_7650: scans/scene0736_00/pnvlad_pcd/scene0736_00_7650_sub.bin
--scene0785_00_735: FAIL
--scene0799_00_645: FAIL
--scene0731_00_0: FAIL
scene0736_00_7680: scans/scene0736_00/pnvlad_pcd/scene0736_00_7680_sub.bin
--scene0803_00_990: FAIL
--scene0752_00_120: FAIL
--scene0763_00_0: FAIL
scene0736_00_7710: scans/scene0736_00/pnvlad_pcd/scene0736_00_7710_sub.bin
--scene0748_00_0: FAIL
--scene0787_00_0: FAIL
--scene0768_00_1095: FAIL
scene0736_00_7725: scans/scene0736_00/pnvlad_pcd/scene0736_00_7725_sub.bin
--scene0746_00_0: FAIL
--scene0752_00_120: FAIL
--scene0757_00_1590: FAIL
scene0736_00_7755: scans/scene0736_00/pnvlad_pcd/scene0736_00_7755_sub.bin
--scene0754_00_0: FAIL
--scene0725_00_0: FAIL
--scene0784_00_900: FAIL
scene0736_00_7785: scans/scene0736_00/pnvlad_pcd/scene0736_00_7785_sub.bin
--scene0775_00_450: FAIL
--scene0761_00_2595: FAIL
--scene0720_00_0: FAIL
scene0736_00_7830: scans/scene0736_00/pnvlad_pcd/scene0736_00_7830_sub.bin
--scene0744_00_765: FAIL
--scene0787_00_1005: FAIL
--scene0761_00_2595: FAIL
scene0736_00_7860: scans/scene0736_00/pnvlad_pcd/scene0736_00_7860_sub.bin
--scene0790_00_570: FAIL
--scene0787_00_1005: FAIL
--scene0768_00_1095: FAIL
scene0736_00_7905: scans/scene0736_00/pnvlad_pcd/scene0736_00_7905_sub.bin
--scene0744_00_765: FAIL
--scene0717_00_0: FAIL
--scene0785_00_1035: FAIL
scene0736_00_7950: scans/scene0736_00/pnvlad_pcd/scene0736_00_7950_sub.bin
--scene0803_00_990: FAIL
--scene0736_00_0: 0.6444107586030963 SUCCESS
scene0736_00_7965: scans/scene0736_00/pnvlad_pcd/scene0736_00_7965_sub.bin
--scene0736_00_0: 0.4719267791191708 SUCCESS
scene0737_00_60: scans/scene0737_00/pnvlad_pcd/scene0737_00_60_sub.bin
--scene0707_00_0: FAIL
--scene0738_00_0: FAIL
--scene0758_00_0: FAIL
scene0737_00_90: scans/scene0737_00/pnvlad_pcd/scene0737_00_90_sub.bin
--scene0746_00_0: FAIL
--scene0725_00_0: FAIL
--scene0761_00_2040: FAIL
scene0737_00_150: scans/scene0737_00/pnvlad_pcd/scene0737_00_150_sub.bin
--scene0734_00_1155: FAIL
--scene0757_00_1590: FAIL
--scene0774_00_0: FAIL
scene0737_00_210: scans/scene0737_00/pnvlad_pcd/scene0737_00_210_sub.bin
--scene0760_00_0: FAIL
--scene0758_00_0: FAIL
--scene0757_00_1140: FAIL
scene0737_00_240: scans/scene0737_00/pnvlad_pcd/scene0737_00_240_sub.bin
--scene0763_00_0: FAIL
--scene0760_00_0: FAIL
--scene0752_00_120: FAIL
scene0737_00_270: scans/scene0737_00/pnvlad_pcd/scene0737_00_270_sub.bin
--scene0725_00_0: FAIL
--scene0774_00_0: FAIL
--scene0744_00_765: FAIL
scene0737_00_315: scans/scene0737_00/pnvlad_pcd/scene0737_00_315_sub.bin
--scene0752_00_120: FAIL
--scene0753_00_0: FAIL
--scene0725_00_0: FAIL
scene0737_00_345: scans/scene0737_00/pnvlad_pcd/scene0737_00_345_sub.bin
--scene0753_00_0: FAIL
--scene0760_00_0: FAIL
--scene0707_00_0: FAIL
scene0737_00_375: scans/scene0737_00/pnvlad_pcd/scene0737_00_375_sub.bin
--scene0785_00_1035: FAIL
--scene0760_00_0: FAIL
--scene0797_00_0: FAIL
scene0737_00_405: scans/scene0737_00/pnvlad_pcd/scene0737_00_405_sub.bin
--scene0761_00_2595: FAIL
--scene0731_00_0: FAIL
--scene0720_00_0: FAIL
scene0737_00_435: scans/scene0737_00/pnvlad_pcd/scene0737_00_435_sub.bin
--scene0760_00_420: FAIL
--scene0768_00_1095: FAIL
--scene0785_00_735: FAIL
scene0737_00_465: scans/scene0737_00/pnvlad_pcd/scene0737_00_465_sub.bin
--scene0788_00_0: FAIL
--scene0722_00_0: FAIL
--scene0805_00_645: FAIL
scene0737_00_480: scans/scene0737_00/pnvlad_pcd/scene0737_00_480_sub.bin
--scene0744_00_765: FAIL
--scene0782_00_885: FAIL
--scene0757_00_1140: FAIL
scene0737_00_525: scans/scene0737_00/pnvlad_pcd/scene0737_00_525_sub.bin
--scene0761_00_2595: FAIL
--scene0752_00_120: FAIL
--scene0746_00_0: FAIL
scene0737_00_585: scans/scene0737_00/pnvlad_pcd/scene0737_00_585_sub.bin
--scene0790_00_570: FAIL
--scene0787_00_1005: FAIL
--scene0803_00_990: FAIL
scene0737_00_645: scans/scene0737_00/pnvlad_pcd/scene0737_00_645_sub.bin
--scene0720_00_0: FAIL
--scene0785_00_0: FAIL
--scene0787_00_0: FAIL
scene0737_00_720: scans/scene0737_00/pnvlad_pcd/scene0737_00_720_sub.bin
--scene0757_00_1590: FAIL
--scene0780_00_1215: FAIL
--scene0735_00_0: FAIL
scene0737_00_765: scans/scene0737_00/pnvlad_pcd/scene0737_00_765_sub.bin
--scene0725_00_0: FAIL
--scene0760_00_0: FAIL
--scene0761_00_2040: FAIL
scene0737_00_930: scans/scene0737_00/pnvlad_pcd/scene0737_00_930_sub.bin
--scene0768_00_1095: FAIL
--scene0803_00_990: FAIL
--scene0744_00_765: FAIL
scene0737_00_1035: scans/scene0737_00/pnvlad_pcd/scene0737_00_1035_sub.bin
--scene0757_00_1590: FAIL
--scene0760_00_0: FAIL
--scene0758_00_0: FAIL
scene0737_00_1185: scans/scene0737_00/pnvlad_pcd/scene0737_00_1185_sub.bin
--scene0725_00_0: FAIL
--scene0738_00_0: FAIL
--scene0784_00_0: FAIL
scene0737_00_1230: scans/scene0737_00/pnvlad_pcd/scene0737_00_1230_sub.bin
--scene0752_00_120: FAIL
--scene0753_00_0: FAIL
--scene0752_00_240: FAIL
scene0737_00_1275: scans/scene0737_00/pnvlad_pcd/scene0737_00_1275_sub.bin
--scene0761_00_2595: FAIL
--scene0752_00_120: FAIL
--scene0785_00_0: FAIL
scene0737_00_1395: scans/scene0737_00/pnvlad_pcd/scene0737_00_1395_sub.bin
--scene0761_00_2040: FAIL
--scene0761_00_2595: FAIL
--scene0775_00_450: FAIL
scene0737_00_1455: scans/scene0737_00/pnvlad_pcd/scene0737_00_1455_sub.bin
--scene0768_00_1095: FAIL
--scene0746_00_0: FAIL
--scene0800_00_0: FAIL
scene0737_00_1500: scans/scene0737_00/pnvlad_pcd/scene0737_00_1500_sub.bin
--scene0784_00_0: FAIL
--scene0744_00_765: FAIL
--scene0713_00_0: FAIL
scene0737_00_1545: scans/scene0737_00/pnvlad_pcd/scene0737_00_1545_sub.bin
--scene0753_00_0: FAIL
--scene0784_00_0: FAIL
--scene0786_00_0: FAIL
scene0737_00_1575: scans/scene0737_00/pnvlad_pcd/scene0737_00_1575_sub.bin
--scene0763_00_0: FAIL
--scene0760_00_0: FAIL
--scene0753_00_0: FAIL
scene0737_00_1620: scans/scene0737_00/pnvlad_pcd/scene0737_00_1620_sub.bin
--scene0725_00_0: FAIL
--scene0746_00_165: FAIL
--scene0768_00_1095: FAIL
scene0737_00_1710: scans/scene0737_00/pnvlad_pcd/scene0737_00_1710_sub.bin
--scene0725_00_0: FAIL
--scene0790_00_570: FAIL
--scene0744_00_765: FAIL
scene0737_00_1755: scans/scene0737_00/pnvlad_pcd/scene0737_00_1755_sub.bin
--scene0746_00_165: FAIL
--scene0761_00_2595: FAIL
--scene0757_00_1140: FAIL
scene0737_00_1845: scans/scene0737_00/pnvlad_pcd/scene0737_00_1845_sub.bin
--scene0746_00_0: FAIL
--scene0784_00_900: FAIL
--scene0725_00_0: FAIL
scene0737_00_1860: scans/scene0737_00/pnvlad_pcd/scene0737_00_1860_sub.bin
--scene0768_00_1095: FAIL
--scene0738_00_0: FAIL
--scene0785_00_0: FAIL
scene0737_00_1905: scans/scene0737_00/pnvlad_pcd/scene0737_00_1905_sub.bin
--scene0785_00_1035: FAIL
--scene0746_00_165: FAIL
--scene0783_00_0: FAIL
scene0737_00_1965: scans/scene0737_00/pnvlad_pcd/scene0737_00_1965_sub.bin
--scene0746_00_0: FAIL
--scene0763_00_0: FAIL
--scene0784_00_900: FAIL
scene0737_00_2190: scans/scene0737_00/pnvlad_pcd/scene0737_00_2190_sub.bin
--scene0736_00_0: FAIL
--scene0757_00_2535: FAIL
--scene0721_00_1200: FAIL
scene0737_00_2340: scans/scene0737_00/pnvlad_pcd/scene0737_00_2340_sub.bin
--scene0707_00_0: FAIL
--scene0721_00_1200: FAIL
--scene0736_00_0: FAIL
scene0737_00_2520: scans/scene0737_00/pnvlad_pcd/scene0737_00_2520_sub.bin
--scene0761_00_2595: FAIL
--scene0784_00_900: FAIL
--scene0763_00_0: FAIL
scene0737_00_2595: scans/scene0737_00/pnvlad_pcd/scene0737_00_2595_sub.bin
--scene0725_00_0: FAIL
--scene0784_00_900: FAIL
--scene0746_00_0: FAIL
scene0737_00_2685: scans/scene0737_00/pnvlad_pcd/scene0737_00_2685_sub.bin
--scene0744_00_765: FAIL
--scene0763_00_0: FAIL
--scene0768_00_1095: FAIL
scene0737_00_2730: scans/scene0737_00/pnvlad_pcd/scene0737_00_2730_sub.bin
--scene0747_00_2325: FAIL
--scene0753_00_0: FAIL
--scene0735_00_0: FAIL
scene0737_00_2820: scans/scene0737_00/pnvlad_pcd/scene0737_00_2820_sub.bin
--scene0754_00_2295: FAIL
--scene0734_00_1155: FAIL
--scene0735_00_0: FAIL
scene0737_00_2850: scans/scene0737_00/pnvlad_pcd/scene0737_00_2850_sub.bin
--scene0757_00_0: FAIL
--scene0717_00_150: FAIL
--scene0734_00_1155: FAIL
scene0737_00_2880: scans/scene0737_00/pnvlad_pcd/scene0737_00_2880_sub.bin
--scene0725_00_0: FAIL
--scene0752_00_120: FAIL
--scene0775_00_450: FAIL
scene0737_00_2910: scans/scene0737_00/pnvlad_pcd/scene0737_00_2910_sub.bin
--scene0790_00_0: FAIL
--scene0725_00_0: FAIL
--scene0774_00_0: FAIL
scene0737_00_2970: scans/scene0737_00/pnvlad_pcd/scene0737_00_2970_sub.bin
--scene0776_00_570: FAIL
--scene0783_00_0: FAIL
--scene0801_00_0: FAIL
scene0737_00_3000: scans/scene0737_00/pnvlad_pcd/scene0737_00_3000_sub.bin
--scene0757_00_1590: FAIL
--scene0736_00_0: FAIL
--scene0768_00_1095: FAIL
scene0738_00_105: scans/scene0738_00/pnvlad_pcd/scene0738_00_105_sub.bin
--scene0761_00_2040: FAIL
--scene0802_00_930: FAIL
--scene0782_00_885: FAIL
scene0738_00_165: scans/scene0738_00/pnvlad_pcd/scene0738_00_165_sub.bin
--scene0752_00_120: FAIL
--scene0758_00_0: FAIL
--scene0748_00_0: FAIL
scene0738_00_255: scans/scene0738_00/pnvlad_pcd/scene0738_00_255_sub.bin
--scene0730_00_0: FAIL
--scene0765_00_0: FAIL
--scene0741_00_0: FAIL
scene0738_00_450: scans/scene0738_00/pnvlad_pcd/scene0738_00_450_sub.bin
--scene0787_00_0: FAIL
--scene0785_00_1035: FAIL
--scene0725_00_0: FAIL
scene0738_00_510: scans/scene0738_00/pnvlad_pcd/scene0738_00_510_sub.bin
--scene0709_00_0: FAIL
--scene0757_00_1590: FAIL
--scene0752_00_120: FAIL
scene0738_00_600: scans/scene0738_00/pnvlad_pcd/scene0738_00_600_sub.bin
--scene0722_00_0: FAIL
--scene0802_00_930: FAIL
--scene0768_00_1095: FAIL
scene0738_00_645: scans/scene0738_00/pnvlad_pcd/scene0738_00_645_sub.bin
--scene0738_00_0: 3.6885578026960415 FAIL
--scene0738_00_465: 0.7007036547169736 SUCCESS
scene0738_00_690: scans/scene0738_00/pnvlad_pcd/scene0738_00_690_sub.bin
--scene0738_00_465: 1.620947527493636 SUCCESS
scene0738_00_735: scans/scene0738_00/pnvlad_pcd/scene0738_00_735_sub.bin
--scene0745_00_0: FAIL
--scene0788_00_0: FAIL
--scene0757_00_1590: FAIL
scene0738_00_870: scans/scene0738_00/pnvlad_pcd/scene0738_00_870_sub.bin
--scene0757_00_1590: FAIL
--scene0746_00_0: FAIL
--scene0744_00_765: FAIL
scene0738_00_915: scans/scene0738_00/pnvlad_pcd/scene0738_00_915_sub.bin
--scene0738_00_0: 3.6226125881882276 FAIL
--scene0707_00_0: FAIL
--scene0749_00_2205: FAIL
scene0738_00_975: scans/scene0738_00/pnvlad_pcd/scene0738_00_975_sub.bin
--scene0787_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0707_00_0: FAIL
scene0738_00_1005: scans/scene0738_00/pnvlad_pcd/scene0738_00_1005_sub.bin
--scene0725_00_0: FAIL
--scene0783_00_0: FAIL
--scene0787_00_0: FAIL
scene0738_00_1020: scans/scene0738_00/pnvlad_pcd/scene0738_00_1020_sub.bin
--scene0757_00_1590: FAIL
